"id","email","name","password","role"
"2bde38dd-54c7-425c-b84d-40982cb8591c","luh@gmail.com","Luiz","$2a$10$4aX4j0Sk7ROXeH6pMWqHH.hcFoTCBRJqwYX3ipsYg34DOeCwoTv4y","ROLE_USER"
"9d61f56f-679c-4786-9453-5ec7420a76e0","jp@gmail.com","jpp","$2a$10$/iUSWVk/Jhi2yZkjQlISNuy4hBYdZC3DduLZV8cqWkmZfvj.g92xS","ROLE_USER"
"5526c86f-716e-4ecf-b33c-14eac103cf13","jp12@gmail.com","jp12","$2a$10$N3f/1d9gVYMNyppKDaGVGu45UtuW7dtZZbUCIEPIsDSAUZI70DIie","ROLE_USER"
"07ab38b1-0d3e-4790-b26d-503b556201e0","luhx@gmail.com","LuizX","$2a$10$CgoVKjaIU87OjZWKKb0nEOFauACB03ip1dx1LFyAviefhp.tr881W","ROLE_USER"
"08a2dd11-2fa3-41ce-baf2-8bf11ca1b6b6","admin@example.com","admin","$2a$10$CPISKINDnNWeBLCgb06cSeaQxNkjhla3W0l1NFLMZUrOoUiYHXucu","ROLE_ADMIN"
"dea0bb18-65bb-4de0-9952-fc03f9a536dd","luhxxx@gmail.com","Luizxxx","$2a$10$GUbXyrMuF/fqMbOjfD23A.Z7lxmOP5Qoh8Yt/W7rM8UM7QZaY3YX2","ROLE_USER"
"0c339822-9aba-4587-b638-9c3a130d5f85","johndoe@gmail.com","John Doe","$2a$10$gxk4wcj/KwRNlEs5OEHr..ZJAw2wL4NWPl1P4R.g/nE2EOAGgrADu","ROLE_USER"
"b2edce4b-b95c-417a-bc16-d0a604c1fdfc","adminv@gmail.com","AdminV","$2a$10$UlLiUK4KUurQ4XTGCLRlUOp77n14HnH7XJZXxBCvSKu.t6lr3baKi","ROLE_USER"
"4f4a3913-49ae-4809-b9ce-fe80b0b7ea0e","xdd@gmail.com","XDD","$2a$10$NvFBCGlyPnO6rqIeQRPLs.EQhudaKc5QSAKp7jANmSTALDFJmCa86","ROLE_USER"
"94f66b67-9c40-4898-b28b-b4a6386a4a40","teste@gmail.com","Teste","$2a$10$rC/pCmCtgFot8LGMfacOk.GQMRWBP3Mj0HsmMZAXZ7/j5rzwYRd1u","ROLE_USER"
"35fcbe1f-29b4-4e50-8377-f83896d4c7ce","james@gmail.com","James","$2a$10$M46dZIYJbYlYo1DUeUq7G.oRdf74qrBvsSWDz/STZl5Rh/plCjn3C","ROLE_USER"
"1f3888e3-9c1d-44b2-9b26-9607b0f223c0","gui@gmail.com","gui","$2a$10$00TpSDJPI.3EOCjbPvYbMeKAWzlSFWXyHA5s5viwDwZ07LmrCYSEe","ROLE_USER"
"c396eeb0-f81f-44da-8c97-2c10a969058f","dog@gmail.com","dog","$2a$10$LKO3AsK0WLkARQoG/gyTbu8M4NuokZ8qcl4.S0HTfvSQ5mMeYRlHC","ROLE_USER"
"cdc7a68e-34d8-46e6-ac1a-266bd9c54386","number@gmail.com","123456","$2a$10$r/47uCWkNBeWpy00jOMfq.EpUJI95kl0BcTEjA8WGEOiNs7pKYhgu","ROLE_USER"
"ba92f878-055d-4ad9-8292-75618f39d775","mna@gmailcom","mnamna","$2a$10$OFG3WIeFUYv3vh5k81YkPezUbVZgSVi.ALuiM0YeWcWeWr.7jB6t2","ROLE_USER"
